antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
NUMBER_OF_BANK_PRODUCTS_1.0,DECISION_YES,0.725531915,0.752765957,0.55106383,0.759530792,1.008986637,0.004908103,1.028131811
DECISION_YES,NUMBER_OF_BANK_PRODUCTS_1.0,0.752765957,0.725531915,0.55106383,0.732052007,1.008986637,0.004908103,1.024333423
CREDIT_CARD_TYPES_NORMAL,NUMBER_OF_PROPERTIES_2.0,0.633191489,0.861702128,0.545957447,0.862231183,1.000613965,0.000334993,1.003840166
NUMBER_OF_PROPERTIES_2.0,CREDIT_CARD_TYPES_NORMAL,0.861702128,0.633191489,0.545957447,0.633580247,1.000613965,0.000334993,1.001060962
NUMBER_OF_SIDE_INCOME_3.0,NUMBER_OF_PROPERTIES_2.0,0.549787234,0.861702128,0.485957447,0.883900929,1.025761572,0.012204617,1.191205674
NUMBER_OF_PROPERTIES_2.0,NUMBER_OF_SIDE_INCOME_3.0,0.861702128,0.549787234,0.485957447,0.563950617,1.025761572,0.012204617,1.032481145
CREDIT_CARD_TYPES_NORMAL,YEARS_FOR_PROPERTY_TO_COMPLETION_10.0,0.633191489,0.73787234,0.477021277,0.753360215,1.020989911,0.00980679,1.062795524
YEARS_FOR_PROPERTY_TO_COMPLETION_10.0,CREDIT_CARD_TYPES_NORMAL,0.73787234,0.633191489,0.477021277,0.646482122,1.020989911,0.00980679,1.037595363
"NUMBER_OF_PROPERTIES_2.0,  NUMBER_OF_BANK_PRODUCTS_1.0",DECISION_YES,0.62212766,0.752765957,0.469361702,0.754445964,1.002231779,0.001045179,1.0068417
"NUMBER_OF_PROPERTIES_2.0,  DECISION_YES",NUMBER_OF_BANK_PRODUCTS_1.0,0.645531915,0.725531915,0.469361702,0.727092947,1.002151569,0.001007696,1.005720012
NUMBER_OF_BANK_PRODUCTS_1.0,"NUMBER_OF_PROPERTIES_2.0,  DECISION_YES",0.725531915,0.645531915,0.469361702,0.646920821,1.002151569,0.001007696,1.003933696
DECISION_YES,"NUMBER_OF_PROPERTIES_2.0,  NUMBER_OF_BANK_PRODUCTS_1.0",0.752765957,0.62212766,0.469361702,0.623516111,1.002231779,0.001045179,1.003687943
NUMBER_OF_DEPENDENTS_2,NUMBER_OF_PROPERTIES_2.0,0.510638298,0.861702128,0.454893617,0.890833333,1.033806584,0.014875509,1.266850739
NUMBER_OF_PROPERTIES_2.0,NUMBER_OF_DEPENDENTS_2,0.861702128,0.510638298,0.454893617,0.527901235,1.033806584,0.014875509,1.036566367
MORE_THAN_ONE_PRODUCTS_NO,NUMBER_OF_PROPERTIES_2.0,0.5,0.861702128,0.432340426,0.864680851,1.00345679,0.001489362,1.022012579
