CREDIT_CARD_EXCEED_MONTHS_1,CREDIT_CARD_EXCEED_MONTHS_2,CREDIT_CARD_EXCEED_MONTHS_3,CREDIT_CARD_EXCEED_MONTHS_4,CREDIT_CARD_EXCEED_MONTHS_5,CREDIT_CARD_EXCEED_MONTHS_6,CREDIT_CARD_EXCEED_MONTHS_7,EMPLOYMENT_TYPE_FRESH_GRADUATE,EMPLOYMENT_TYPE_SELF_EMPLOYED,EMPLOYMENT_TYPE_EMPLOYEE,EMPLOYMENT_TYPE_EMPLOYER,EMPLOYMENT_TYPE_GOVERNMENT,LOAN_AMOUNT_HIGH,LOAN_AMOUNT_LOW,LOAN_AMOUNT_MEDIUM,LOAN_TENURE_YEAR_10.0,LOAN_TENURE_YEAR_11.0,LOAN_TENURE_YEAR_12.0,LOAN_TENURE_YEAR_13.0,LOAN_TENURE_YEAR_14.0,LOAN_TENURE_YEAR_15.0,LOAN_TENURE_YEAR_16.0,LOAN_TENURE_YEAR_17.0,LOAN_TENURE_YEAR_18.0,LOAN_TENURE_YEAR_19.0,LOAN_TENURE_YEAR_20.0,LOAN_TENURE_YEAR_21.0,LOAN_TENURE_YEAR_22.0,LOAN_TENURE_YEAR_23.0,LOAN_TENURE_YEAR_24.0,MORE_THAN_ONE_PRODUCTS_NO,MORE_THAN_ONE_PRODUCTS_YES,CREDIT_CARD_TYPES_GOLD,CREDIT_CARD_TYPES_NORMAL,CREDIT_CARD_TYPES_PLATINUM,NUMBER_OF_DEPENDENTS_2,NUMBER_OF_DEPENDENTS_3,NUMBER_OF_DEPENDENTS_4,NUMBER_OF_DEPENDENTS_5,NUMBER_OF_DEPENDENTS_6,YEARS_TO_FINANCIAL_FREEDOM_5.0,YEARS_TO_FINANCIAL_FREEDOM_6.0,YEARS_TO_FINANCIAL_FREEDOM_7.0,YEARS_TO_FINANCIAL_FREEDOM_8.0,YEARS_TO_FINANCIAL_FREEDOM_9.0,YEARS_TO_FINANCIAL_FREEDOM_10.0,YEARS_TO_FINANCIAL_FREEDOM_11.0,YEARS_TO_FINANCIAL_FREEDOM_12.0,YEARS_TO_FINANCIAL_FREEDOM_13.0,YEARS_TO_FINANCIAL_FREEDOM_14.0,YEARS_TO_FINANCIAL_FREEDOM_15.0,YEARS_TO_FINANCIAL_FREEDOM_16.0,YEARS_TO_FINANCIAL_FREEDOM_17.0,YEARS_TO_FINANCIAL_FREEDOM_18.0,YEARS_TO_FINANCIAL_FREEDOM_19.0,NUMBER_OF_CREDIT_CARD_FACILITY_2.0,NUMBER_OF_CREDIT_CARD_FACILITY_3.0,NUMBER_OF_CREDIT_CARD_FACILITY_4.0,NUMBER_OF_CREDIT_CARD_FACILITY_5.0,NUMBER_OF_CREDIT_CARD_FACILITY_6.0,NUMBER_OF_PROPERTIES_2.0,NUMBER_OF_PROPERTIES_3.0,NUMBER_OF_PROPERTIES_4.0,NUMBER_OF_PROPERTIES_5.0,NUMBER_OF_BANK_PRODUCTS_1.0,NUMBER_OF_BANK_PRODUCTS_2.0,NUMBER_OF_BANK_PRODUCTS_3.0,NUMBER_OF_BANK_PRODUCTS_4.0,NUMBER_OF_BANK_PRODUCTS_5.0,NUMBER_OF_LOAN_TO_APPROVE_1,NUMBER_OF_LOAN_TO_APPROVE_2,NUMBER_OF_LOAN_TO_APPROVE_3,PROPERTY_TYPE_BUNGALOW,PROPERTY_TYPE_CONDOMINIUM,PROPERTY_TYPE_FLAT,PROPERTY_TYPE_TERRACE,YEARS_FOR_PROPERTY_TO_COMPLETION_10.0,YEARS_FOR_PROPERTY_TO_COMPLETION_11.0,YEARS_FOR_PROPERTY_TO_COMPLETION_12.0,YEARS_FOR_PROPERTY_TO_COMPLETION_13.0,STATE_JOHOR,STATE_JOHOR B,STATE_K.L,STATE_KEDAH,STATE_KUALA LUMPUR,STATE_N.S,STATE_N.SEMBILAN,STATE_P.PINANG,STATE_PENANG,STATE_PULAU PENANG,STATE_SWK,STATE_SABAH,STATE_SARAWAK,STATE_SELANGOR,STATE_TRENGGANU,NUMBER_OF_SIDE_INCOME_1.0,NUMBER_OF_SIDE_INCOME_2.0,NUMBER_OF_SIDE_INCOME_3.0,MONTHLY_SALARY_HIGH,MONTHLY_SALARY_LOW,MONTHLY_SALARY_MEDIUM,TOTAL_SUM_OF_LOAN_HIGH,TOTAL_SUM_OF_LOAN_LOW,TOTAL_SUM_OF_LOAN_MEDIUM,TOTAL_INCOME_FOR_JOIN_APPLICATION_HIGH,TOTAL_INCOME_FOR_JOIN_APPLICATION_LOW,TOTAL_INCOME_FOR_JOIN_APPLICATION_MEDIUM,SCORE_6,SCORE_7,SCORE_8,SCORE_9,temp,DECISION
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
